countrycode,country,year,rgdpo,pop,emp,avh,rgdpna,rgdpna/pop,rgdpo/pop,rgdpo/(avh*emp),rgdpna/(avh*emp),continent
ARG,Argentina,1950,50108.76172,17.09182389,6.608832836,2034,196688.4531,11507.75098,2931.73871,3.727674262,14.6319817,Americas
ARG,Argentina,1951,51339.16797,17.45757808,6.713252068,2037.866753,208305.2031,11932.07913,2940.795552,3.752667515,15.22619473,Americas
ARG,Argentina,1952,46855.10156,17.81596652,6.819320679,2041.740856,195898.25,10995.65661,2629.950024,3.36523309,14.06982914,Americas
ARG,Argentina,1953,49917.14844,18.16861821,6.927064896,2045.622325,204164.875,11237.22633,2747.437799,3.522695114,14.4080868,Americas
ARG,Argentina,1954,52254.76953,18.51716789,7.036511421,2049.511172,210812.5625,11384.70871,2821.963371,3.623416434,14.61802837,Americas
ARG,Argentina,1955,56072.5,18.86324458,7.147687912,2053.407412,225537.4688,11956.45149,2972.579811,3.820403309,15.36660737,Americas
ARG,Argentina,1956,57550.31641,19.20576288,7.244111538,2057.311059,231485.4844,12052.91796,2996.512909,3.861558571,15.53240385,Americas
ARG,Argentina,1957,60560.36719,19.54363364,7.341836452,2061.222128,240381.4219,12299.73025,3098.726077,4.001833337,15.88442132,Americas
ARG,Argentina,1958,65162.11328,19.87848775,7.440879345,2065.140631,256257.3125,12891.18748,3278.021653,4.240541001,16.67640268,Americas
ARG,Argentina,1959,61388.01563,20.21195806,7.541258812,2069.066584,243846.9531,12064.48937,3037.212696,3.934280157,15.62784233,Americas
ARG,Argentina,1960,65991.28125,20.54567357,7.64299202,2073,270342,13158.09866,3211.930776,4.165084841,17.06282019,Americas
ARG,Argentina,1961,68127.41406,20.87910586,7.739992142,2066.200512,279138.9375,13369.29557,3262.946915,4.259993339,17.45450097,Americas
ARG,Argentina,1962,69384.20313,21.21116954,7.838223457,2059.423326,280924.875,13244.19544,3271.116333,4.298306068,17.40311253,Americas
ARG,Argentina,1963,66981.1875,21.54265537,7.937701225,2052.668369,270609.3125,12561.55789,3109.235438,4.110922644,16.60845369,Americas
ARG,Argentina,1964,70325.3125,21.87435979,8.038441658,2045.935569,291641.6563,13332.5802,3214.96552,4.276100009,17.73314394,Americas
ARG,Argentina,1965,79025.89063,22.20707736,8.140460014,2039.224853,318469.5938,14340.90531,3558.590324,4.760530328,19.18465135,Americas
ARG,Argentina,1966,80755.50781,22.53446117,8.240280151,2032.536148,319221.2813,14165.91587,3583.644942,4.821607982,19.05950342,Americas
ARG,Argentina,1967,83494.25781,22.85598089,8.341324806,2025.869382,328118.75,14355.92511,3653.059487,4.940946315,19.41710929,Americas
ARG,Argentina,1968,85935.94531,23.18115592,8.443606377,2019.224483,345067.4688,14885.68861,3707.146684,5.040368353,20.23911115,Americas
ARG,Argentina,1969,94348.5625,23.51950949,8.547143936,2012.601379,376695.9688,16016.31909,4011.502134,5.484745796,21.89839014,Americas
ARG,Argentina,1970,97105.6875,23.880561,8.651949883,2006,388737.7813,16278.41914,4066.306797,5.594995526,22.39813345,Americas
ARG,Argentina,1971,100012.8203,24.259561,8.734713554,2002.661112,403358.8438,16626.79897,4122.614598,5.717412703,23.05873357,Americas
ARG,Argentina,1972,101742.6953,24.653175,8.818268776,1999.327782,411739.4375,16701.27428,4126.961144,5.770798443,23.35366974,Americas
ARG,Argentina,1973,107506.1563,25.056478,8.902623177,1996,427155.5313,17047.70843,4290.553375,6.049992082,24.03850786,Americas
ARG,Argentina,1974,112594.1094,25.462302,9.226568222,1992.842195,450247.1875,17682.89401,4421.992535,6.123540051,24.48713082,Americas
ARG,Argentina,1975,111144.5938,25.865776,9.285899162,1989.689385,447577,17303.83036,4296.975036,6.01560202,24.22470598,Americas
ARG,Argentina,1976,111303.875,26.264681,9.292825699,1986.541564,447527.0313,17039.11924,4237.777531,6.029271447,24.2423002,Americas
ARG,Argentina,1977,118831.1797,26.661398,9.544593811,1983.398722,476099.0625,17857.24299,4457.04984,6.277156096,25.14952844,Americas
ARG,Argentina,1978,117131.9688,27.061047,9.631727219,1980.260853,460762.9688,17026.79755,4328.434474,6.141138136,24.15744454,Americas
ARG,Argentina,1979,124635.4063,27.471036,9.799654961,1977.127948,493095.2813,17949.64272,4536.975098,6.432738152,25.44985349,Americas
ARG,Argentina,1980,125315.2656,27.896528,9.828572273,1974,500260.7813,17932.72558,4492.145604,6.459016517,25.78450944,Americas
ARG,Argentina,1981,126380.7266,28.338515,9.851314545,1961.230057,473161.9063,16696.77844,4459.680635,6.541210443,24.48990196,Americas
ARG,Argentina,1982,132655.0625,28.794548,10.00714493,1948.542723,458204.0938,15912.87676,4606.95068,6.803050686,23.4984298,Americas
ARG,Argentina,1983,143819.5781,29.262047,10.31627655,1935.937465,477047.0625,16302.58685,4914.884394,7.201180722,23.88619237,Americas
ARG,Argentina,1984,153307.5313,29.737093,10.55692482,1923.41375,486614.2188,16363.87991,5155.431005,7.550111145,23.96484639,Americas
ARG,Argentina,1985,149748.6875,30.216279,10.63332367,1910.971053,452764.9063,14984.13839,4955.894387,7.36953155,22.28176632,Americas
ARG,Argentina,1986,166668.4688,30.698964,10.94746113,1898.608848,485108.6875,15802.11917,5429.123561,8.018710475,23.33942433,Americas
ARG,Argentina,1987,177435.2813,31.184415,11.17555237,1886.326616,497395.5,15950.13086,5689.870445,8.416937236,23.59478157,Americas
ARG,Argentina,1988,188858.3594,31.668949,11.39611912,1874.123837,487682.625,15399.39406,5963.518378,8.842619711,22.83400113,Americas
ARG,Argentina,1989,181887,32.148134,11.49627209,1862,453493.375,14106.36695,5657.777836,8.496986913,21.18528137,Americas
ARG,Argentina,1990,204212.6875,32.618651,11.81147861,1850,447422.8438,13716.77951,6260.611069,9.345590005,20.47586028,Americas
ARG,Argentina,1991,240402,33.079,12.19068241,1837.960827,494384.5313,14945.57064,7267.51111,10.72935978,22.06483101,Americas
ARG,Argentina,1992,283126.8438,33.529326,12.38593483,1826,545328.4375,16264.22307,8444.155536,12.51847665,24.11174166,Americas
ARG,Argentina,1993,325027.75,33.970111,12.34501266,1850.337807,579420.625,17056.7775,9568.050867,14.22911466,25.36596494,Americas
ARG,Argentina,1994,378639.9375,34.402672,12.41618156,1875,613236.9375,17825.27059,11006.12003,16.26436429,26.34140765,Americas
ARG,Argentina,1995,424478.75,34.82817,11.8353138,1881.961138,595788.8125,17106.52074,12187.79942,19.05748232,26.74865293,Americas
ARG,Argentina,1996,548784.875,35.246374,12.13721466,1888.94812,628716.125,17837.75332,15569.96686,23.93663349,27.42303613,Americas
ARG,Argentina,1997,566384.25,35.657429,12.76251125,1895.961042,679711.625,19062.27241,15884.04621,23.40699276,28.09047936,Americas
ARG,Argentina,1998,565211.8125,36.063459,13.35114288,1903,705881.75,19573.32351,15672.70107,22.24610577,27.78271742,Americas
ARG,Argentina,1999,532079.6875,36.467218,13.46127415,1887.285006,681984.4375,18701.30147,14590.63007,20.94368133,26.84422101,Americas
ARG,Argentina,2000,528448.75,36.870787,13.59835911,1862.136267,676603.6875,18350.67116,14332.45105,20.8691572,26.71999643,Americas
ARG,Argentina,2001,496567.2813,37.275652,13.50548172,1811.15257,646773.3125,17351.09321,13321.4915,20.30079215,26.44155401,Americas
ARG,Argentina,2002,425342.1563,37.681749,13.41266441,1710.03656,576310.625,15294.15806,11287.74984,18.54462152,25.12674153,Americas
ARG,Argentina,2003,461437.0625,38.087868,14.06910324,1713.574614,627239.5,16468.2229,12115.06673,19.14004867,26.01740418,Americas
ARG,Argentina,2004,504759,38.491972,14.99685669,1743.399876,683876.5,17766.73068,13113.35777,19.30575628,26.15654805,Americas
ARG,Argentina,2005,548929.1875,38.892931,15.74958897,1771.678525,744411,19140.00773,14113.85497,19.67261889,26.67832979,Americas
ARG,Argentina,2006,599530.125,39.289878,16.29812241,1775.920326,804314.8125,20471.29829,15259.14957,20.71333157,27.78849419,Americas
ARG,Argentina,2007,665477.25,39.684295,16.96141243,1787.544724,876764.6875,22093.49284,16769.28493,21.94897694,28.9177247,Americas
ARG,Argentina,2008,718254.625,40.08016,17.3702507,1789.764973,912337.0625,22762.80989,17920.45304,23.10342357,29.34629149,Americas
ARG,Argentina,2009,684293.3125,40.482788,17.56205559,1751.622844,858340.1875,21202.59572,16903.31487,22.24468948,27.90252454,Americas
ARG,Argentina,2010,784810.125,40.895752,18.07674599,1760.224782,945250.5625,23113.66135,19190.5048,24.6647212,29.7069837,Americas
ARG,Argentina,2011,882632.375,41.3205,18.48802948,1760.230369,1002002.938,24249.53564,21360.64121,27.12187555,30.78994125,Americas
ARG,Argentina,2012,902396,41.755196,18.79129219,1736.10336,991718.125,23750.77164,21611.58578,27.66081286,30.39877112,Americas
ARG,Argentina,2013,904232,42.19603,19.12441826,1725.873553,1015572.188,24067.95586,21429.31456,27.39571662,30.76901487,Americas
ARG,Argentina,2014,879837.75,42.637511,19.38305092,1705.428368,990054.75,23220.27545,20635.29811,26.61625644,29.95046657,Americas
ARG,Argentina,2015,913103.5,43.075416,19.85445023,1703.468539,1017094.75,23611.95421,21197.78716,26.99777816,30.0724928,Americas
ARG,Argentina,2016,908771.3125,43.50846,19.72317505,1646.512532,995935.8125,22890.62432,20887.23233,27.98418989,30.66828422,Americas
ARG,Argentina,2017,1022513.25,43.93714,20.03366089,1648.812832,1022513.25,23272.18499,23272.18499,30.95546039,30.95546039,Americas
ARG,Argentina,2018,1021129.313,44.36115,20.1350708,1638.440039,997136.625,22477.70008,23018.54917,30.95259247,30.22532329,Americas
ARG,Argentina,2019,977420.5625,44.780677,20.64321518,1609.068998,975569,21785.4902,21826.83756,29.42588033,29.37013784,Americas
AUS,Australia,1950,114123.6328,8.354106173,3.429873466,2170.923406,127476.0313,15259.0868,13660.78315,15.32685286,17.1200857,Oceania
AUS,Australia,1951,110532.1406,8.599922573,3.523916006,2150.846928,130718.2969,15199.93881,12852.69021,14.58322341,17.24651415,Oceania
AUS,Australia,1952,109025.1016,8.782429781,3.591674805,2130.956115,125367.6875,14274.82947,12414.00208,14.24475506,16.38000767,Oceania
AUS,Australia,1953,122817.0078,8.950892266,3.653408766,2111.249251,138968.3281,15525.63968,13721.20278,15.92284757,18.0168166,Oceania
AUS,Australia,1954,131921.3906,9.159148135,3.731083393,2091.724634,150078.1875,16385.60544,14403.23802,16.90346558,19.22994796,Oceania
AUS,Australia,1955,138513.9375,9.374454313,3.811291456,2072.380578,155997.8438,16640.7386,14775.68004,17.5368586,19.75044661,Oceania
AUS,Australia,1956,140626.0625,9.600318608,3.895439148,2053.215414,156355.9063,16286.53305,14648.06203,17.58226722,19.54894617,Oceania
AUS,Australia,1957,141599.9531,9.814506913,3.946432352,2034.227488,159780.625,16280.0461,14427.61765,17.63838949,19.90306377,Oceania
AUS,Australia,1958,152881.2188,10.01933207,3.981426954,2015.41516,170618.8906,17028.96854,15258.6238,19.05245142,21.2629658,Oceania
AUS,Australia,1959,162855.8906,10.23806607,4.030419827,1996.776806,181070.375,17685.99399,15906.89975,20.235953,22.49922667,Oceania
AUS,Australia,1960,165419.75,10.47001892,4.155402184,1978.310818,185281.2813,17696.36547,15799.37451,20.12239967,22.53844533,Oceania
AUS,Australia,1961,170311.6875,10.71005321,4.16740036,1974.661182,187807.8438,17535.65925,15902.03934,20.69601061,22.82211622,Oceania
AUS,Australia,1962,179626.2188,10.90826557,4.267385483,1971.018279,199598.4844,18297.91208,16466.98254,21.35586666,23.73038105,Oceania
AUS,Australia,1963,192393.9063,11.11694835,4.389368057,1967.382096,213073.5,19166.54582,17306.35963,22.27925164,24.6739526,Oceania
AUS,Australia,1964,201940.2344,11.3360447,4.546845436,1963.752621,226548.4688,19984.78965,17813.99419,22.61652552,25.37255264,Oceania
AUS,Australia,1965,204649.6719,11.55944582,4.684576035,1960.129843,231601.6094,20035.7018,17704.10754,22.287221,25.2224018,Oceania
AUS,Australia,1966,218782.9844,11.77740791,4.853451729,1956.513747,245918.8125,20880.5549,18576.49714,23.03986467,25.89751747,Oceania
AUS,Australia,1967,228736.4063,11.99686853,5.005279541,1952.904323,258551.625,21551.59277,19066.34266,23.40054592,26.45074858,Oceania
AUS,Australia,1968,246073.5938,12.228672,5.127487183,1949.301557,277079.75,22658.20441,20122.67511,24.61962303,27.72178392,Oceania
AUS,Australia,1969,264889.3438,12.50931111,5.270841599,1945.705438,297292.2813,23765.67971,21175.3742,25.82899034,28.98855557,Oceania
AUS,Australia,1970,275292.3438,12.793034,5.470687389,1942.115953,309082.875,24160.24807,21518.92536,25.91057668,29.090949,Oceania
AUS,Australia,1971,285965.4063,13.033133,5.582775116,1923.479433,321175.8125,24643.02424,21941.41702,26.63028522,29.90922435,Oceania
AUS,Australia,1972,295046.5625,13.244171,5.652177334,1903.148684,329570.4688,24884.19009,22277.4655,27.42850021,30.63795624,Oceania
AUS,Australia,1973,308242.9688,13.431794,5.798769951,1889.80663,343093.9688,25543.42099,22948.75642,28.12806977,31.30832515,Oceania
AUS,Australia,1974,297153.7188,13.60557,5.898222446,1907.066589,347725.4063,25557.57725,21840.59314,26.41764893,30.91358825,Oceania
AUS,Australia,1975,303125.4375,13.773288,5.873687267,1893.830425,356723.5,25899.66172,22008.21166,27.25024893,32.06858604,Oceania
AUS,Australia,1976,316724,13.935731,5.960297108,1904.207578,369556.375,26518.62145,22727.47659,27.90607619,32.56105745,Oceania
AUS,Australia,1977,322573.3438,14.092548,6.01401186,1906.007696,372870.8438,26458.72441,22889.63953,28.14100128,32.52890884,Oceania
AUS,Australia,1978,337628.5313,14.249401,6.031926155,1906.85481,387947.8438,27225.55452,23694.22625,29.35387879,33.72870753,Oceania
AUS,Australia,1979,348575.3125,14.413,6.111774445,1912.255166,399719.125,27733.23562,24184.78544,29.82520686,34.2012333,Oceania
AUS,Australia,1980,360226.4063,14.588405,6.277514458,1909.762827,413060.8125,28314.32309,24692.65189,30.04750306,34.45457027,Oceania
AUS,Australia,1981,376529.0625,14.777243,6.356343269,1894.809448,426809.2813,28882.87627,25480.33233,31.26263776,35.43732816,Oceania
AUS,Australia,1982,367700.25,14.979205,6.340231419,1870.658317,417332.125,27860.76598,24547.38085,31.00233081,35.18699972,Oceania
AUS,Australia,1983,389328.5938,15.194641,6.241293907,1857.01413,436451.3438,28724.0313,25622.75698,33.59127268,37.65702375,Oceania
AUS,Australia,1984,404517.9688,15.423166,6.45838213,1878.158461,459362.125,29783.90591,26227.94624,33.34892576,37.87034096,Oceania
AUS,Australia,1985,415789.5625,15.663663,6.681814671,1869.260236,477909,30510.6794,26544.84858,33.28966232,38.26317605,Oceania
AUS,Australia,1986,427613.5938,15.917572,6.977031708,1873.874479,490101.2813,30789.95221,26864.2475,32.70696979,37.48647852,Oceania
AUS,Australia,1987,462908.5625,16.183168,7.141334534,1871.633417,518249.6563,32023.99285,28604.32287,34.63339336,38.7738436,Oceania
AUS,Australia,1988,490373.6875,16.452255,7.412162304,1867.853552,538260.1875,32716.4992,29805.86476,35.41925448,38.8780537,Oceania
AUS,Australia,1989,507402.875,16.713989,7.722003937,1877.780871,557481.5,33354.18613,30357.97588,34.99274358,38.44638677,Oceania
AUS,Australia,1990,507695.9688,16.960597,7.84548378,1863.959761,555263.6875,32738.45181,29933.85013,34.71742081,37.97021109,Oceania
AUS,Australia,1991,507724.75,17.18924,7.67402029,1850.484985,557552.375,32436.12719,29537.35884,35.753604,39.26242876,Oceania
AUS,Australia,1992,527872.6875,17.402173,7.635434628,1846.54406,580021.25,33330.39213,30333.72255,37.43999257,41.13869084,Oceania
AUS,Australia,1993,547020.6875,17.603205,7.66720295,1863.784511,603128.6875,34262.43616,31075.06204,38.27992636,42.20630457,Oceania
AUS,Australia,1994,572406.1875,17.798529,7.922579765,1869.948752,626275.25,35186.91067,32160.30873,38.63740898,42.27356988,Oceania
AUS,Australia,1995,602171.25,17.993074,8.215477943,1870.329578,650565.875,36156.46081,33466.83563,39.18943848,42.33897141,Oceania
AUS,Australia,1996,635900.6875,18.189277,8.321126938,1863.822992,676370.8125,37185.14004,34960.19592,41.00175842,43.61120093,Oceania
AUS,Australia,1997,667289.5625,18.387214,8.382689476,1861.098508,707326.1875,38468.37196,36290.95536,42.77220032,45.33848434,Oceania
AUS,Australia,1998,690270.0625,18.587021,8.528651237,1846.629559,743213.0625,39985.59331,37137.20787,43.82873136,47.19034973,Oceania
AUS,Australia,1999,725861.625,18.788186,8.681078911,1848.475003,772444.6875,41113.31916,38633.93864,45.23416217,48.13712016,Oceania
AUS,Australia,2000,746969,18.991431,8.902647018,1847.480068,787359.5,41458.67155,39331.89658,45.41545426,47.87118255,Oceania
AUS,Australia,2001,771091.5625,19.194672,9.01188755,1814.128932,818864.9375,42661.05394,40172.16666,47.16523877,50.08738544,Oceania
AUS,Australia,2002,789873.25,19.401368,9.185278893,1808.12111,843315.6875,43466.81572,40712.24514,47.55952869,50.77738312,Oceania
AUS,Australia,2003,823659.4375,19.624166,9.398048401,1801.574336,877516,44716.09137,41971.69131,48.64719625,51.8280871,Oceania
AUS,Australia,2004,853504.5625,19.879649,9.560890198,1799.364187,905633.9375,45555.83137,42933.58311,49.61219523,52.64235212,Oceania
AUS,Australia,2005,917886.6875,20.17854,9.911472321,1797.073602,930942.25,46135.26301,45488.26067,51.53295352,52.26593255,Oceania
AUS,Australia,2006,937622.875,20.526303,10.164608,1786.906293,966729.75,47097.11973,45679.0916,51.62211348,53.22463241,Oceania
AUS,Australia,2007,964050.375,20.916344,10.48900127,1786.251995,1002092.313,47909.53488,46090.76878,51.45444081,53.48486025,Oceania
AUS,Australia,2008,1015878.125,21.332282,10.75775719,1786.47658,1021502.75,47885.30125,47621.63396,52.85943833,53.15210583,Oceania
AUS,Australia,2009,1013711.313,21.750851,10.85353565,1757.960395,1042621.5,47934.74517,46605.59316,53.12928474,54.64448691,Oceania
AUS,Australia,2010,1112663.75,22.154679,11.12126064,1763.322787,1068298.625,48220.00016,50222.51733,56.73853266,54.4762031,Oceania
AUS,Australia,2011,1175046.25,22.538001,11.32635593,1765.289547,1110156.375,49257.09139,52136.22317,58.76906834,55.52364928,Oceania
AUS,Australia,2012,1170344.25,22.903948,11.44915962,1757.21845,1138852.875,49722.99426,51097.92644,58.17203555,56.60675475,Oceania
AUS,Australia,2013,1227129.25,23.254913,11.55393505,1756.28963,1167701.25,50213.09906,52768.60206,60.47338084,57.54474714,Oceania
AUS,Australia,2014,1225111.125,23.596424,11.66723919,1746.496239,1193304.875,50571.42875,51919.35545,60.12287329,58.56196743,Oceania
AUS,Australia,2015,1165804.625,23.932502,11.90849304,1746.483472,1226367.125,51242.74616,48712.19169,56.05372603,58.9656666,Oceania
AUS,Australia,2016,1249462,24.262712,12.07155418,1736.081064,1254581,51708.19321,51497.21103,59.61971068,59.86397045,Oceania
AUS,Australia,2017,1291582.25,24.58462,12.3240881,1736.800304,1291582.25,52536.18929,52536.18929,60.3416786,60.3416786,Oceania
AUS,Australia,2018,1350395.25,24.898152,12.61943722,1729.342063,1319492.875,52995.6149,54236.76625,61.87853304,60.46250789,Oceania
AUS,Australia,2019,1364677.75,25.203198,12.86317444,1726.797659,1315734.25,52205.05152,54147.00746,61.43848534,59.23502412,Oceania
AUT,Austria,1950,41605.02734,6.980751368,2.934920311,2085.669553,56946.14844,8157.595857,5959.964071,6.796792268,9.302989714,Europe
AUT,Austria,1951,43706.10547,6.98110463,2.99060607,2083.015656,60474.61328,8662.613796,6260.62891,7.016012673,9.707811955,Europe
AUT,Austria,1952,44922.38672,6.973375097,2.923521996,2080.365137,60239.30078,8638.471321,6441.986283,7.386129017,9.904532683,Europe
AUT,Austria,1953,47309.0625,6.97811726,2.891931534,2077.717989,62218.33203,8916.206151,6779.631345,7.873534504,10.35484869,Europe
AUT,Austria,1954,50657.71875,6.985893831,2.976327658,2075.074211,67352.9375,9641.276998,7251.429807,8.20221701,10.90541428,Europe
AUT,Austria,1955,55541.88672,6.992613975,3.12647891,2072.433796,75065.11719,10734.91508,7942.936206,8.57204533,11.58515897,Europe
AUT,Austria,1956,59629.85938,6.998124099,3.221801043,2069.796741,79692.41406,11387.68232,8520.834802,8.942055657,11.95062355,Europe
AUT,Austria,1957,62760.4375,7.01171366,3.295096636,2067.163042,84319.71094,12025.54968,8950.798698,9.213891099,12.37901877,Europe
AUT,Austria,1958,65324.33984,7.033353378,3.321739912,2064.532693,87404.57813,12427.15579,9287.794361,9.525496903,12.74520401,Europe
AUT,Austria,1959,67548.26563,7.060503701,3.371424675,2061.905692,89975.29688,12743.46714,9567.060437,9.71699421,12.94318116,Europe
AUT,Austria,1960,72448.73438,7.093827955,3.440428257,2059.282033,98201.61719,13843.24765,10212.92521,10.22592179,13.86086403,Europe
AUT,Austria,1961,76432.49219,7.13294552,3.459298134,2046.629756,103343.0547,14488.13178,10715.41791,10.79569842,14.59667768,Europe
AUT,Austria,1962,78591.6875,7.176797568,3.443099022,2034.055214,105399.6328,14686.16494,10950.80177,11.22184752,15.04966551,Europe
AUT,Austria,1963,81837.19531,7.223046616,3.41953373,2021.55793,110026.9375,15232.76027,11330.01068,11.83852659,15.9164402,Europe
AUT,Austria,1964,85747.60156,7.271352841,3.413850784,2009.13743,116710.8203,16050.77114,11792.52382,12.50166341,17.01597905,Europe
AUT,Austria,1965,88459.39844,7.318750472,3.390900612,1996.793242,119795.6719,16368.32303,12086.68048,13.06459114,17.69265336,Europe
AUT,Austria,1966,92929.58594,7.370264377,3.362745285,1984.524897,126479.5625,17160.79045,12608.71811,13.9252653,18.95264512,Europe
AUT,Austria,1967,95787.14063,7.425558093,3.307928801,1972.331928,130592.7266,17586.9241,12899.65541,14.681521,20.01625526,Europe
AUT,Austria,1968,99937.03906,7.464215841,3.264507294,1960.213874,136248.3125,18253.53331,13388.81956,15.61727925,21.29168489,Europe
AUT,Austria,1969,104938.3438,7.49003663,3.258476973,1948.170273,144988.7656,19357.55094,14010.39126,16.53075301,22.83982563,Europe
AUT,Austria,1970,111568.6328,7.516239,3.265043259,1890.137419,155271.6406,20658.15638,14843.67818,18.07839169,25.15995281,Europe
AUT,Austria,1971,117567.7188,7.55034,3.301126242,1885.287964,163210.8906,21616.36305,15571.18206,18.89070923,26.22462621,Europe
AUT,Austria,1972,124571.8906,7.581117,3.31970191,1905.749921,173342.7969,22865.07343,16431.86494,19.6904235,27.39938411,Europe
AUT,Austria,1973,130781.7031,7.607065,3.358950615,1900.7313,181814.5625,23900.75049,17192.13693,20.48437151,28.47766129,Europe
AUT,Austria,1974,135338.3281,7.62629,3.405431747,1978.662455,188984.9063,24780.71333,17746.28661,20.08523483,28.04679408,Europe
AUT,Austria,1975,136221.3125,7.637689,3.394333839,1903.97165,188300.1875,24654.07894,17835.4097,21.07803053,29.13638863,Europe
AUT,Austria,1976,139693.3438,7.640749,3.413128138,1898.042383,196918.7188,25772.17479,18282.6767,21.56339874,30.39684453,Europe
AUT,Austria,1977,145573.9688,7.636576,3.451448202,1904.783097,206922.125,27096.19141,19062.72769,22.14301905,31.47458708,Europe
AUT,Austria,1978,145074.2656,7.627759,3.467476845,1844.067573,206486.2344,27070.36685,19019.25135,22.68819677,32.29242827,Europe
AUT,Austria,1979,151004.6094,7.617884,3.483715773,1876.680397,217547.0938,28557.41749,19822.38235,23.09708495,33.27516773,Europe
AUT,Austria,1980,152806.375,7.609752,3.511729717,1881.035385,221313.8906,29082.93077,20080.33573,23.1325455,33.50353442,Europe
AUT,Austria,1981,152377.875,7.604513,3.488420963,1819.141224,220994.5469,29060.97299,20037.82162,24.01190462,34.82460941,Europe
AUT,Austria,1982,153064.7813,7.602181,3.435217142,1835.118889,225439.2969,29654.5553,20134.32477,24.28045805,35.76112901,Europe
AUT,Austria,1983,156258.7656,7.603102,3.422595978,1829.912281,232141.7969,30532.51119,20551.97545,24.9493067,37.06529271,Europe
AUT,Austria,1984,155366.9375,7.607293,3.420871973,1825.92553,232260.8594,30531.34136,20423.41967,24.87360443,37.18400346,Europe
AUT,Austria,1985,158705.0469,7.614868,3.431707859,1821.530301,238064.2969,31263.08911,20841.47051,25.38890838,38.08443865,Europe
AUT,Austria,1986,166262.3125,7.625393,3.442780256,1820.710972,243543.0938,31938.43173,21803.76965,26.52427388,38.85308476,Europe
AUT,Austria,1987,173161.4531,7.639352,3.442195177,1808.716252,246848.375,32312.73739,22667.03421,27.81283689,39.64827892,Europe
AUT,Austria,1988,184286.4063,7.65884,3.471370697,1812.131249,254984.2188,33292.79875,24061.92142,29.29561762,40.53429834,Europe
AUT,Austria,1989,194189.2656,7.686572,3.515850544,1825.243229,264895.625,34462.12759,25263.44196,30.26035844,41.27847406,Europe
AUT,Austria,1990,205574.1563,7.723949,3.560341358,1826.029778,276407.0313,35785.71418,26615.1623,31.62052102,42.51572523,Europe
AUT,Austria,1991,214933.0469,7.772701,3.591025114,1836.444171,285919.9375,36785.14554,27652.29833,32.59170065,43.35590616,Europe
AUT,Austria,1992,223888.7656,7.830933,3.594428539,1804.931362,291905.75,37275.98614,28590.30535,34.50974554,44.99374109,Europe
AUT,Austria,1993,228787.2031,7.892086,3.573315859,1802.298132,293443.5625,37182.00264,28989.44628,35.52496754,45.56449351,Europe
AUT,Austria,1994,240059.0781,7.947209,3.583720446,1800.538069,300492.4063,37811.06125,30206.7151,37.20332031,46.56901679,Europe
AUT,Austria,1995,250433.9375,7.990121,3.5849545,1774.436388,308509.5,38611.36771,31342.94681,39.36852095,48.49807033,Europe
AUT,Austria,1996,256307.3125,8.017863,3.60650897,1807.270617,315758.0313,39381.81923,31967.03567,39.32337568,48.44446913,Europe
AUT,Austria,1997,269415.3438,8.032876,3.635558844,1815.691956,322368.75,40131.17469,33539.08908,40.8139829,48.83594404,Europe
AUT,Austria,1998,280194.75,8.04105,3.672077179,1794.030507,333914.125,41526.18439,34845.54256,42.53225112,50.68660072,Europe
AUT,Austria,1999,290596.125,8.051113,3.72519803,1797.971353,345789.2188,42949.24425,36093.90714,43.38680665,51.62728847,Europe
AUT,Austria,2000,306927.5625,8.069276,3.759931087,1798.432211,357462.0938,44299.1532,38036.56765,45.3901829,52.86351503,Europe
AUT,Austria,2001,299963.125,8.097748,3.785838842,1785.420148,361991.7813,44702.77184,37042.78338,44.37775368,53.55452309,Europe
AUT,Austria,2002,306288.4688,8.134412,3.780693769,1782.84794,367970.25,45236.24449,37653.42458,45.44068206,54.59173571,Europe
AUT,Austria,2003,313908.2813,8.175852,3.806158543,1773.977855,371434.5625,45430.68569,38394.56503,46.49087333,55.01070927,Europe
AUT,Austria,2004,326475.0313,8.216805,3.825345755,1776.465838,381593.75,46440.64816,39732.6006,48.04214799,56.15309489,Europe
AUT,Austria,2005,357373.0313,8.25365,3.862365246,1752.489349,390156.9688,47270.84002,43298.78675,52.79746222,57.64088506,Europe
AUT,Austria,2006,364390.5,8.285343,3.925628901,1735.669533,403633.1563,48716.52945,43980.13456,53.47992179,59.2393864,Europe
AUT,Austria,2007,376847.2188,8.313737,3.998071671,1724.77914,418678.2188,50359.81037,45328.25837,54.64887778,60.71504224,Europe
AUT,Austria,2008,390540.625,8.341532,4.075037003,1717.1951,424792.7188,50925.02417,46818.81278,55.81038516,60.70519616,Europe
AUT,Austria,2009,373127.2813,8.372663,4.057965279,1673.075108,408801.0625,48825.69172,44564.94681,54.95829352,60.21272074,Europe
AUT,Austria,2010,385229.0625,8.409949,4.096951008,1665.843868,416311.125,49502.21755,45806.34942,56.4448052,60.99903315,Europe
AUT,Austria,2011,402328.375,8.453501,4.168144226,1671.687791,428479.0313,50686.57722,47593.10669,57.74079439,61.49384727,Europe
AUT,Austria,2012,409657.375,8.502227,4.216424942,1647.852876,431394.625,50739.0152,48182.36152,58.96006719,62.08860777,Europe
AUT,Austria,2013,404381.125,8.556189,4.232905388,1632.067625,431504.625,50431.8716,47261.82708,58.53480353,62.46097279,Europe
